Name,Company Name
KAP.IL,JSC National Atomic Company Kazatomprom
CCJ,Cameco Corporation
U-UN.TO,Sprott Physical Uranium Trust Fund
UEC,Uranium Energy Corp.
PDN.AX,Paladin Energy Limited
YCA.L,Yellow Cake plc
NXE,NexGen Energy Ltd.
UUUU,Energy Fuels Inc.
DNN,Denison Mines Corp.
BOE.AX,Boss Energy Limited
GLO.TO,Global Atomic Corporation
FCU.TO,Fission Uranium Corp.
ISO.V,IsoEnergy Ltd.
EU.V,enCore Energy Corp.
URC.V,Uranium Royalty Corp.
URG,Ur-Energy Inc.
LOT.AX,Lotus Resources Limited
DYL.AX,Deep Yellow Limited
BMN.AX,Bannerman Energy Ltd
VMY.AX,Vimy Resources Limited
AGE.AX,Alligator Energy Limited
PEN.AX,Peninsula Energy Limited
GXU.V,GoviEx Uranium Inc.
UEX.TO,UEX Corporation
EL8.AX,Elevate Uranium Ltd
BKY.L,Berkeley Energia Limited
CUR.V,Consolidated Uranium Inc.
LAM.TO,Laramide Resources Ltd.
FSY.TO,Forsys Metals Corp.
MGA.TO,Mega Uranium Ltd.
FIND.V,Baselode Energy Corp.
TOE.AX,Toro Energy Limited
API.CN,Appia Rare Earths & Uranium Corp.
SYH.V,Skyharbour Resources Ltd.
WUC.CN,Western Uranium & Vanadium Corp.
CVV.V,CanAlaska Uranium Ltd.
LUR.CN,Labrador Uranium Inc.
