Date,High,Low,Open,Close,Volume,Adj Close,Name
2021-04-15,256.5,252.5,255.0,254.5,1702647,254.5,YCA.L
2021-04-16,258.0,252.5,253.0,253.5,4388475,253.5,YCA.L
2021-04-19,257.0,251.5,254.5,252.0,595054,252.0,YCA.L
2021-04-20,253.5,244.0,252.0,246.0,670213,246.0,YCA.L
2021-04-21,248.0,241.0,241.0,245.0,588332,245.0,YCA.L
2021-04-22,246.0,240.10000610351562,246.0,241.0,526855,241.0,YCA.L
2021-04-23,246.5,238.5,243.0,245.5,760001,245.5,YCA.L
2021-04-26,248.5,245.0,245.5,246.0,417938,246.0,YCA.L
2021-04-27,247.5,242.0,246.0,243.0,417277,243.0,YCA.L
2021-04-28,252.0,240.5,242.0,250.5,669587,250.5,YCA.L
2021-04-29,259.08599853515625,249.5,255.0,250.0,1317118,250.0,YCA.L
2021-04-30,259.5,248.0,255.5,252.5,1439079,252.5,YCA.L
2021-05-04,268.0,255.0,255.0,259.5,1565487,259.5,YCA.L
2021-05-05,264.5,256.0,260.0,262.0,1559402,262.0,YCA.L
2021-05-06,270.5,263.0,266.5,267.5,1240269,267.5,YCA.L
2021-05-07,271.0,265.0,267.5,265.0,802441,265.0,YCA.L
2021-05-10,275.0,265.0,265.0,270.0,900175,270.0,YCA.L
2021-05-11,275.0,267.5,270.0,269.5,1361361,269.5,YCA.L
2021-05-12,271.0,265.0,266.0,269.0,375105,269.0,YCA.L
2021-05-13,267.0,260.0,267.0,265.0,469875,265.0,YCA.L
2021-05-14,270.5,256.5,270.5,264.5,931783,264.5,YCA.L
2021-05-17,271.0,263.5,265.0,268.5,596805,268.5,YCA.L
2021-05-18,275.5,269.0,270.0,273.5,489971,273.5,YCA.L
2021-05-19,274.8800048828125,266.5,268.0,267.0,497307,267.0,YCA.L
2021-05-20,270.0,262.1629943847656,270.0,263.0,578773,263.0,YCA.L
2021-05-21,267.5,260.5,264.0,267.5,354933,267.5,YCA.L
2021-05-24,270.9949951171875,263.0,267.0,266.5,382795,266.5,YCA.L
2021-05-25,267.0,258.5,265.5,260.0,313936,260.0,YCA.L
2021-05-26,266.5,255.0,261.5,255.5,289470,255.5,YCA.L
2021-05-27,276.0,254.0,256.5,260.5,502618,260.5,YCA.L
2021-05-28,269.3399963378906,261.0,268.5,266.5,753697,266.5,YCA.L
2021-06-01,269.5,258.5,269.5,264.5,2290432,264.5,YCA.L
2021-06-02,275.5,264.0,268.0,273.5,1663981,273.5,YCA.L
2021-06-03,282.5,270.5,275.0,280.5,1813272,280.5,YCA.L
2021-06-04,282.0,274.0,280.0,276.0,472267,276.0,YCA.L
2021-06-07,291.0,276.5,280.5,281.0,1338704,281.0,YCA.L
2021-06-08,285.0,273.0,285.0,275.0,964196,275.0,YCA.L
2021-06-09,278.0,269.5,277.5,269.5,676444,269.5,YCA.L
2021-06-10,278.0,264.5,277.0,266.0,1016427,266.0,YCA.L
2021-06-11,282.5,265.0,272.0,268.0,1367468,268.0,YCA.L
2021-06-14,275.0,260.0,275.0,260.5,806148,260.5,YCA.L
2021-06-15,269.0,256.55499267578125,264.0,263.0,760960,263.0,YCA.L
2021-06-16,268.9599914550781,262.0,262.0,266.5,361755,266.5,YCA.L
2021-06-17,264.5,247.5,259.5,255.0,12423027,255.0,YCA.L
2021-06-18,258.0,250.0,256.5,255.0,2322475,255.0,YCA.L
2021-06-21,257.0,250.0,256.5,250.5,1020955,250.5,YCA.L
2021-06-22,254.5,250.5,252.0,254.0,714484,254.0,YCA.L
2021-06-23,255.0,251.5,255.0,254.0,666180,254.0,YCA.L
2021-06-24,255.5,253.0,255.0,254.5,1168558,254.5,YCA.L
2021-06-25,264.5,253.5,255.0,263.0,1233476,263.0,YCA.L
2021-06-28,270.5,261.5,263.5,264.0,1570479,264.0,YCA.L
2021-06-29,273.5,264.5,266.0,267.5,1044553,267.5,YCA.L
2021-06-30,271.5,266.5,269.0,271.5,1318853,271.5,YCA.L
2021-07-01,274.9800109863281,269.0,272.0,271.5,568385,271.5,YCA.L
2021-07-02,275.0,268.9230041503906,275.0,272.0,445513,272.0,YCA.L
2021-07-05,279.0,271.0,274.5,276.0,503033,276.0,YCA.L
2021-07-06,278.0,273.5,274.0,275.0,594780,275.0,YCA.L
2021-07-07,281.5,274.0,275.0,280.0,2321651,280.0,YCA.L
2021-07-08,279.5,267.0,279.5,270.0,1612085,270.0,YCA.L
2021-07-09,272.5,269.5,271.0,271.0,293254,271.0,YCA.L
2021-07-12,271.0,264.15301513671875,267.0,268.0,1397315,268.0,YCA.L
2021-07-13,271.0,265.0,271.0,268.5,407172,268.5,YCA.L
2021-07-14,267.1929931640625,261.5,266.0,261.5,392288,261.5,YCA.L
2021-07-15,263.5,253.0,261.0,262.0,1214625,262.0,YCA.L
2021-07-16,264.0,257.5,264.0,259.0,386965,259.0,YCA.L
2021-07-19,259.5,253.5,259.0,259.0,1354147,259.0,YCA.L
2021-07-20,259.0,243.0,259.0,253.5,1876379,253.5,YCA.L
2021-07-21,261.5,250.0,254.0,260.0,1002118,260.0,YCA.L
2021-07-22,264.5,259.0,261.5,263.5,712884,263.5,YCA.L
2021-07-23,275.0,255.0,255.0,274.0,1248470,274.0,YCA.L
2021-07-26,276.0,270.5,275.0,274.0,764798,274.0,YCA.L
2021-07-27,273.0,265.0,273.0,269.0,677235,269.0,YCA.L
2021-07-28,273.0,265.5,270.0,272.5,356948,272.5,YCA.L
2021-07-29,275.0,268.5,274.0,270.0,888293,270.0,YCA.L
2021-07-30,281.0,267.0,271.0,281.0,3389206,281.0,YCA.L
2021-08-02,281.5,272.5,279.5,276.5,799355,276.5,YCA.L
2021-08-03,281.0,274.0,281.0,276.5,1116614,276.5,YCA.L
2021-08-04,281.0,274.0,274.0,278.0,737429,278.0,YCA.L
2021-08-05,279.0,267.0,276.5,268.0,496027,268.0,YCA.L
2021-08-06,269.0,262.5,266.5,263.0,834753,263.0,YCA.L
2021-08-09,266.5,260.5,263.0,262.0,503339,262.0,YCA.L
2021-08-10,267.0,262.0,262.0,265.0,621621,265.0,YCA.L
2021-08-11,267.5,260.5,264.0,262.0,243511,262.0,YCA.L
2021-08-12,265.0,260.0,260.0,265.0,458495,265.0,YCA.L
2021-08-13,266.0,261.0,264.0,261.0,908782,261.0,YCA.L
2021-08-16,261.4800109863281,255.0,260.0,257.5,419132,257.5,YCA.L
2021-08-17,260.0,254.8699951171875,256.0,258.0,328334,258.0,YCA.L
2021-08-18,260.0,253.8939971923828,258.0,255.5,271561,255.5,YCA.L
2021-08-19,255.5,248.5,251.0,252.0,3129560,252.0,YCA.L
2021-08-20,255.5,245.5,255.0,247.5,1769817,247.5,YCA.L
2021-08-23,257.0,249.5,249.5,254.0,1800151,254.0,YCA.L
2021-08-24,259.5,253.5,256.0,256.0,722126,256.0,YCA.L
2021-08-25,258.5,252.5,258.5,253.0,729918,253.0,YCA.L
2021-08-26,258.0,253.0,255.0,254.0,657873,254.0,YCA.L
2021-08-27,257.5,252.5,254.0,254.0,394678,254.0,YCA.L
2021-08-31,268.0,254.0,255.0,264.5,1308254,264.5,YCA.L
2021-09-01,269.0,262.5,268.0,265.0,728000,265.0,YCA.L
2021-09-02,285.0,267.04998779296875,269.0,285.0,3744353,285.0,YCA.L
2021-09-03,312.0,288.0400085449219,289.0,306.0,6544367,306.0,YCA.L
2021-09-06,311.0,303.0,310.0,309.0,2814941,309.0,YCA.L
2021-09-07,325.0899963378906,307.0,310.5,313.5,2854039,313.5,YCA.L
2021-09-08,317.5,310.5,314.5,314.0,1979913,314.0,YCA.L
2021-09-09,315.5,301.0,313.0,304.5,1665224,304.5,YCA.L
2021-09-10,311.0,300.5,306.0,308.0,2300822,308.0,YCA.L
2021-09-13,362.5,326.5,325.0,349.0,856008,349.0,YCA.L
2021-09-14,365.0,338.0,358.0,340.0,5183360,340.0,YCA.L
2021-09-15,370.5,341.0,341.0,369.0,5103433,369.0,YCA.L
2021-09-16,393.4729919433594,354.0,377.5,357.0,4376547,357.0,YCA.L
2021-09-17,371.0,361.0,362.0,363.0,1568812,363.0,YCA.L
2021-09-20,353.5,330.0,353.5,339.5,2997308,339.5,YCA.L
2021-09-21,361.5,345.5,345.5,357.5,2405764,357.5,YCA.L
2021-09-22,368.5,350.5,357.5,365.0,1411675,365.0,YCA.L
2021-09-23,369.0,348.0,368.5,349.0,1079660,349.0,YCA.L
2021-09-24,351.0,336.0,351.0,340.5,1112875,340.5,YCA.L
2021-09-27,341.5,318.5,335.0,332.5,3135964,332.5,YCA.L
2021-09-28,344.1319885253906,326.5,329.0,328.5,1565479,328.5,YCA.L
2021-09-29,334.5,324.0,325.5,328.0,1189930,328.0,YCA.L
2021-09-30,341.0,322.5,328.0,327.0,1443199,327.0,YCA.L
2021-10-01,339.0,327.0,339.0,335.5,723428,335.5,YCA.L
2021-10-04,348.5,332.5,334.5,340.0,1803510,340.0,YCA.L
2021-10-05,348.0,331.0,340.5,340.0,1202148,340.0,YCA.L
2021-10-06,350.0,326.5,350.0,332.0,1054038,332.0,YCA.L
2021-10-07,338.0,324.0,338.0,325.5,736109,325.5,YCA.L
2021-10-08,334.0,319.5,324.0,328.5,956573,328.5,YCA.L
2021-10-11,338.0,327.0,331.0,330.5,667662,330.5,YCA.L
2021-10-12,349.5,328.8059997558594,330.5,344.0,1960561,344.0,YCA.L
2021-10-13,387.5,350.0,350.0,370.0,3033068,370.0,YCA.L
2021-10-14,392.0,374.5,374.5,380.0,2384004,380.0,YCA.L
2021-10-15,385.0,365.5,382.5,367.5,877448,367.5,YCA.L
2021-10-18,385.5,365.0,365.0,383.0,1967871,383.0,YCA.L
2021-10-19,393.5,380.55499267578125,384.5,383.5,1593774,383.5,YCA.L
2021-10-20,400.08599853515625,380.0,393.0,392.5,1760066,392.5,YCA.L
2021-10-21,395.5,388.0,391.5,390.5,1524036,390.5,YCA.L
2021-10-22,397.0,390.156005859375,392.5,395.0,742649,395.0,YCA.L
2021-10-25,399.0,389.5,395.0,389.5,1189538,389.5,YCA.L
2021-10-26,397.0,383.5,395.0,383.5,547753,383.5,YCA.L
2021-10-27,369.0,356.0,365.5,358.0,12232651,358.0,YCA.L
2021-10-28,361.0,351.0,358.0,355.0,4465036,355.0,YCA.L
2021-10-29,358.5,345.0,356.0,351.5,1622748,351.5,YCA.L
2021-11-01,361.5,345.0,353.5,351.0,1448933,351.0,YCA.L
2021-11-02,362.5,342.0,360.0,344.0,1003477,344.0,YCA.L
2021-11-03,352.5,333.0,344.0,346.5,2394739,346.5,YCA.L
2021-11-04,363.5,343.99700927734375,355.0,353.0,2400304,353.0,YCA.L
2021-11-05,357.989990234375,344.0,353.0,356.0,1359063,356.0,YCA.L
2021-11-08,366.2300109863281,352.5,357.5,363.0,1906575,363.0,YCA.L
2021-11-09,373.0,360.5,364.0,363.0,2628486,363.0,YCA.L
2021-11-10,369.5,360.5,364.5,365.0,1003911,365.0,YCA.L
2021-11-11,370.0,355.052001953125,360.0,370.0,1271901,370.0,YCA.L
2021-11-12,379.0,363.5,374.5,370.5,1929438,370.5,YCA.L
2021-11-15,380.5,368.6610107421875,371.5,377.0,2253090,377.0,YCA.L
2021-11-16,379.0,362.0,378.0,362.0,1371734,362.0,YCA.L
2021-11-17,372.0,362.79998779296875,363.5,366.5,1544555,366.5,YCA.L
2021-11-18,372.5,351.5,368.0,354.5,1264476,354.5,YCA.L
2021-11-19,359.0,350.0,358.5,350.0,1463883,350.0,YCA.L
2021-11-22,356.0,335.5,353.0,336.0,2065986,336.0,YCA.L
2021-11-23,342.0,328.5,339.0,331.5,2534073,331.5,YCA.L
2021-11-24,349.0,335.0,338.5,345.0,1654597,345.0,YCA.L
2021-11-25,351.5,342.5,345.0,349.0,876227,349.0,YCA.L
2021-11-26,343.0,330.5,343.0,333.0,1523860,333.0,YCA.L
2021-11-29,347.0,331.29998779296875,339.0,339.5,1169855,339.5,YCA.L
2021-11-30,338.5,329.5,336.5,333.5,6856350,333.5,YCA.L
2021-12-01,337.0,330.0,333.5,334.0,959166,334.0,YCA.L
2021-12-02,346.5,317.5,336.0,320.0,1448257,320.0,YCA.L
2021-12-03,332.3999938964844,316.5,324.5,318.0,1367878,318.0,YCA.L
2021-12-06,322.0,309.0,320.0,311.5,1399454,311.5,YCA.L
2021-12-07,331.5,317.0,317.0,330.0,1089908,330.0,YCA.L
2021-12-08,340.0,325.0,340.0,328.5,1363221,328.5,YCA.L
2021-12-09,335.1000061035156,325.0,333.0,328.5,1651516,328.5,YCA.L
2021-12-10,329.5,323.0,325.0,325.0,1310378,325.0,YCA.L
2021-12-13,327.5,316.0,325.0,318.5,1927838,318.5,YCA.L
2021-12-14,324.5,313.0,322.0,314.0,1205483,314.0,YCA.L
2021-12-15,318.5,311.0,316.0,314.5,809371,314.5,YCA.L
2021-12-16,334.0,324.0,325.0,328.0,1536684,328.0,YCA.L
2021-12-17,329.7439880371094,323.0,327.5,327.5,1130190,327.5,YCA.L
2021-12-20,328.0,318.5,321.0,327.0,1042275,327.0,YCA.L
2021-12-21,339.0,318.0,318.0,338.0,1087871,338.0,YCA.L
2021-12-22,341.5,335.0,340.0,338.0,556532,338.0,YCA.L
2021-12-23,348.5,336.0,336.0,343.5,621674,343.5,YCA.L
2021-12-24,348.0,340.0,341.5,348.0,322296,348.0,YCA.L
2021-12-29,349.9880065917969,343.0,348.0,345.0,907554,345.0,YCA.L
2021-12-30,347.0,338.0,345.0,338.0,661168,338.0,YCA.L
2021-12-31,342.0,336.5,339.0,340.0,382757,340.0,YCA.L
2022-01-04,364.9219970703125,344.5,355.0,356.0,2959589,356.0,YCA.L
2022-01-05,375.0,353.0,355.0,373.5,4611904,373.5,YCA.L
2022-01-06,378.489990234375,359.0,365.0,367.5,2719819,367.5,YCA.L
2022-01-07,370.5,360.1820068359375,370.0,361.0,776543,361.0,YCA.L
2022-01-10,370.5,355.5,366.0,355.5,1400661,355.5,YCA.L
2022-01-11,363.0,343.0,361.5,343.5,1572088,343.5,YCA.L
2022-01-12,355.5,339.19000244140625,351.0,341.0,1344568,341.0,YCA.L
2022-01-13,355.0,340.5,355.0,342.0,799956,342.0,YCA.L
2022-01-14,356.0,331.0,345.5,337.0,995072,337.0,YCA.L
2022-01-17,345.5,336.0,340.0,342.0,819053,342.0,YCA.L
2022-01-18,345.0,334.5,340.0,340.0,1078088,340.0,YCA.L
2022-01-19,348.5,333.44000244140625,348.5,346.5,1058465,346.5,YCA.L
